"filename", "language", "C#", "XML", "JSON", "Properties", "comment", "blank", "total"
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\ShareX_windows.csproj.nuget.g.props", "XML", 0, 23, 0, 0, 0, 0, 23
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\ShareX_windows.csproj.nuget.g.targets", "XML", 0, 7, 0, 0, 0, 0, 7
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\project.assets.json", "JSON", 0, 0, 1660, 0, 0, 0, 1660
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Debug\net6.0-windows10.0.19041.0\win10-x64\.NETCoreApp,Version=v6.0.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 1, 1, 5
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Debug\net6.0-windows10.0.19041.0\win10-x64\App.g.cs", "C#", 7, 0, 0, 0, 8, 3, 18
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Debug\net6.0-windows10.0.19041.0\win10-x64\App.g.i.cs", "C#", 51, 0, 0, 0, 14, 10, 75
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Debug\net6.0-windows10.0.19041.0\win10-x64\App.xaml", "XML", 0, 55, 0, 0, 3, 11, 69
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Debug\net6.0-windows10.0.19041.0\win10-x64\MainWindow.g.cs", "C#", 22, 0, 0, 0, 14, 5, 41
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Debug\net6.0-windows10.0.19041.0\win10-x64\MainWindow.g.i.cs", "C#", 24, 0, 0, 0, 11, 11, 46
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Debug\net6.0-windows10.0.19041.0\win10-x64\MainWindow.xaml", "XML", 0, 25, 0, 0, 0, 7, 32
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Debug\net6.0-windows10.0.19041.0\win10-x64\MsixContent\AppxBlockMap.xml", "XML", 0, 2, 0, 0, 0, 0, 2
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Debug\net6.0-windows10.0.19041.0\win10-x64\MsixContent\AppxManifest.xml", "XML", 0, 919, 0, 0, 8, 0, 927
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Debug\net6.0-windows10.0.19041.0\win10-x64\MsixContent\MSIX\main_license.xml", "XML", 0, 1, 0, 0, 0, 0, 1
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Debug\net6.0-windows10.0.19041.0\win10-x64\MsixContent\MSIX\singleton_license.xml", "XML", 0, 1, 0, 0, 0, 0, 1
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Debug\net6.0-windows10.0.19041.0\win10-x64\MsixContent\[Content_Types].xml", "XML", 0, 2, 0, 0, 0, 0, 2
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Debug\net6.0-windows10.0.19041.0\win10-x64\ShareX_windows.AssemblyInfo.cs", "C#", 11, 0, 0, 0, 10, 5, 26
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Debug\net6.0-windows10.0.19041.0\win10-x64\ShareX_windows.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 10, 0, 1, 11
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Debug\net6.0-windows10.0.19041.0\win10-x64\Themes\Generic.g.cs", "C#", 0, 0, 0, 0, 0, 2, 2
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Debug\net6.0-windows10.0.19041.0\win10-x64\Themes\Generic.g.i.cs", "C#", 0, 0, 0, 0, 0, 2, 2
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Debug\net6.0-windows10.0.19041.0\win10-x64\Themes\Generic.xaml", "XML", 0, 87, 0, 0, 0, 10, 97
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Debug\net6.0-windows10.0.19041.0\win10-x64\Views\CallsView.g.cs", "C#", 22, 0, 0, 0, 14, 5, 41
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Debug\net6.0-windows10.0.19041.0\win10-x64\Views\CallsView.g.i.cs", "C#", 24, 0, 0, 0, 11, 11, 46
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Debug\net6.0-windows10.0.19041.0\win10-x64\Views\CallsView.xaml", "XML", 0, 12, 0, 0, 0, 4, 16
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Debug\net6.0-windows10.0.19041.0\win10-x64\Views\FileTransferView.g.cs", "C#", 283, 0, 0, 0, 25, 25, 333
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Debug\net6.0-windows10.0.19041.0\win10-x64\Views\FileTransferView.g.i.cs", "C#", 54, 0, 0, 0, 11, 12, 77
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Debug\net6.0-windows10.0.19041.0\win10-x64\Views\FileTransferView.xaml", "XML", 0, 105, 0, 0, 0, 13, 118
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Debug\net6.0-windows10.0.19041.0\win10-x64\Views\ImageFullscreenView.g.cs", "C#", 39, 0, 0, 0, 14, 5, 58
"e:\Projects\my_projects\visual studio projects\ShareX_windows\ShareX_windows\obj\x64\Debug\net6.0-windows10.0.19041.0\win10-x64\Views\ImageFullscreenView.g.i.cs", "C#", 26, 0, 0, 0, 11, 11, 48
